====================================================================================
POP NO : ,사용안함62,Result : ,
MODEL: ,Test,INSPECTOR : ,0
====================================================================================
Step,항목,Result,Min,Value,Max,Unit
0004,W상 정방향 전류 측정,NG,2.66,0,2.74,V,
0004,W상 역방향 전류 측정,NG,2.26,0,2.34,V,
0004,W상 무부하 전류 측정,NG,2.46,0,2.54,V,
0004,W상 소비 전류 측정,OK,0,0.1,15,mA,
0004,U상 정방향 전류 측정,NG,2.66,0,2.74,V,
0004,U상 역방향 전류 측정,NG,2.26,0,2.34,V,
0004,U상 무부하 전류 측정,NG,2.46,0,2.54,V,
0004,U상 소비 전류 측정,OK,0,0.1,15,mA,
====================================================================================
POP NO : ,사용안함63,Result : ,
MODEL: ,Test,INSPECTOR : ,0
====================================================================================
Step,항목,Result,Min,Value,Max,Unit
0004,W상 정방향 전류 측정,NG,2.66,0,2.74,V,
0004,W상 역방향 전류 측정,NG,2.26,0,2.34,V,
0004,W상 무부하 전류 측정,NG,2.46,0,2.54,V,
0004,W상 소비 전류 측정,OK,0,0.1,15,mA,
0004,U상 정방향 전류 측정,NG,2.66,0,2.74,V,
0004,U상 역방향 전류 측정,NG,2.26,0,2.34,V,
0004,U상 무부하 전류 측정,NG,2.46,0,2.54,V,
0004,U상 소비 전류 측정,OK,0,0.1,15,mA,
====================================================================================
POP NO : ,사용안함64,Result : ,
MODEL: ,Test,INSPECTOR : ,0
====================================================================================
Step,항목,Result,Min,Value,Max,Unit
0004,W상 정방향 전류 측정,NG,2.66,0,2.74,V,
0004,W상 역방향 전류 측정,NG,2.26,0,2.34,V,
0004,W상 무부하 전류 측정,NG,2.46,0,2.54,V,
0004,W상 소비 전류 측정,OK,0,0.1,15,mA,
0004,U상 정방향 전류 측정,NG,2.66,0,2.74,V,
0004,U상 역방향 전류 측정,NG,2.26,0,2.34,V,
0004,U상 무부하 전류 측정,NG,2.46,0,2.54,V,
0004,U상 소비 전류 측정,OK,0,0.1,15,mA,
====================================================================================
POP NO : ,사용안함65,Result : ,
MODEL: ,Test,INSPECTOR : ,0
====================================================================================
Step,항목,Result,Min,Value,Max,Unit
0004,W상 정방향 전류 측정,NG,2.66,0,2.74,V,
0004,W상 역방향 전류 측정,NG,2.26,0,2.34,V,
0004,W상 무부하 전류 측정,NG,2.46,0,2.54,V,
0004,W상 소비 전류 측정,OK,0,0.1,15,mA,
0004,U상 정방향 전류 측정,NG,2.66,0,2.74,V,
0004,U상 역방향 전류 측정,NG,2.26,0,2.34,V,
0004,U상 무부하 전류 측정,NG,2.46,0,2.54,V,
0004,U상 소비 전류 측정,OK,0,0.1,15,mA,
====================================================================================
POP NO : ,사용안함66,Result : ,
MODEL: ,Test,INSPECTOR : ,0
====================================================================================
Step,항목,Result,Min,Value,Max,Unit
0004,W상 정방향 전류 측정,NG,2.66,0,2.74,V,
0004,W상 역방향 전류 측정,NG,2.26,0,2.34,V,
0004,W상 무부하 전류 측정,NG,2.46,0,2.54,V,
0004,W상 소비 전류 측정,OK,0,0.1,15,mA,
0004,U상 정방향 전류 측정,NG,2.66,0,2.74,V,
0004,U상 역방향 전류 측정,NG,2.26,0,2.34,V,
0004,U상 무부하 전류 측정,NG,2.46,0,2.54,V,
0004,U상 소비 전류 측정,OK,0,0.1,15,mA,
====================================================================================
POP NO : ,사용안함67,Result : ,
MODEL: ,Test,INSPECTOR : ,0
====================================================================================
Step,항목,Result,Min,Value,Max,Unit
0004,W상 정방향 전류 측정,NG,2.66,0,2.74,V,
0004,W상 역방향 전류 측정,NG,2.26,0,2.34,V,
0004,W상 무부하 전류 측정,NG,2.46,0,2.54,V,
0004,W상 소비 전류 측정,OK,0,0.1,15,mA,
0004,U상 정방향 전류 측정,NG,2.66,0,2.74,V,
0004,U상 역방향 전류 측정,NG,2.26,0,2.34,V,
0004,U상 무부하 전류 측정,NG,2.46,0,2.54,V,
0004,U상 소비 전류 측정,OK,0,0.1,15,mA,
====================================================================================
POP NO : ,사용안함68,Result : ,
MODEL: ,Test,INSPECTOR : ,0
====================================================================================
Step,항목,Result,Min,Value,Max,Unit
0004,W상 정방향 전류 측정,NG,2.66,0,2.74,V,
0004,W상 역방향 전류 측정,NG,2.26,0,2.34,V,
0004,W상 무부하 전류 측정,NG,2.46,0,2.54,V,
0004,W상 소비 전류 측정,OK,0,0.1,15,mA,
0004,U상 정방향 전류 측정,NG,2.66,0,2.74,V,
0004,U상 역방향 전류 측정,NG,2.26,0,2.34,V,
0004,U상 무부하 전류 측정,NG,2.46,0,2.54,V,
0004,U상 소비 전류 측정,OK,0,0.1,15,mA,
====================================================================================
POP NO : ,사용안함69,Result : ,
MODEL: ,Test,INSPECTOR : ,0
====================================================================================
Step,항목,Result,Min,Value,Max,Unit
0004,W상 정방향 전류 측정,NG,2.66,0,2.74,V,
0004,W상 역방향 전류 측정,NG,2.26,0,2.34,V,
0004,W상 무부하 전류 측정,NG,2.46,0,2.54,V,
0004,W상 소비 전류 측정,OK,0,0.1,15,mA,
0004,U상 정방향 전류 측정,NG,2.66,0,2.74,V,
0004,U상 역방향 전류 측정,NG,2.26,0,2.34,V,
0004,U상 무부하 전류 측정,NG,2.46,0,2.54,V,
0004,U상 소비 전류 측정,OK,0,0.1,15,mA,
====================================================================================
POP NO : ,사용안함70,Result : ,
MODEL: ,Test,INSPECTOR : ,0
====================================================================================
Step,항목,Result,Min,Value,Max,Unit
0004,W상 정방향 전류 측정,NG,2.66,0,2.74,V,
0004,W상 역방향 전류 측정,NG,2.26,0,2.34,V,
0004,W상 무부하 전류 측정,NG,2.46,0,2.54,V,
0004,W상 소비 전류 측정,OK,0,0.1,15,mA,
0004,U상 정방향 전류 측정,NG,2.66,0,2.74,V,
0004,U상 역방향 전류 측정,NG,2.26,0,2.34,V,
0004,U상 무부하 전류 측정,NG,2.46,0,2.54,V,
0004,U상 소비 전류 측정,OK,0,0.1,15,mA,
====================================================================================
POP NO : ,사용안함71,Result : ,
MODEL: ,Test,INSPECTOR : ,0
====================================================================================
Step,항목,Result,Min,Value,Max,Unit
0004,W상 정방향 전류 측정,NG,2.66,0,2.74,V,
0004,W상 역방향 전류 측정,NG,2.26,0,2.34,V,
0004,W상 무부하 전류 측정,NG,2.46,0,2.54,V,
0004,W상 소비 전류 측정,OK,0,0.1,15,mA,
0004,U상 정방향 전류 측정,NG,2.66,0,2.74,V,
0004,U상 역방향 전류 측정,NG,2.26,0,2.34,V,
0004,U상 무부하 전류 측정,NG,2.46,0,2.54,V,
0004,U상 소비 전류 측정,OK,0,0.1,15,mA,
====================================================================================
