====================================================================================
Barcode NO : ,-,Result : ,
MODEL: ,Current Sensor+3P BUSBAR,INSPECTOR : ,0
====================================================================================
Step,항목,Result,Min,Value,Max,Unit
0004,W상 (100A) 센싱전압 측정,NG,2.66,0,2.74,V,
0004,W상 (-100A) 센싱전압 측정,NG,2.26,0,2.34,V,
0004,W상 (0A) 센싱전압 측정,NG,2.48,0,2.52,V,
0004,W상 소비 전류 측정,OK,,0.1,15,mA,
0004,U상 (100A) 센싱전압 측정,NG,2.66,0,2.74,V,
0004,U상 (-100A) 센싱전압 측정,NG,2.26,0,2.34,V,
0004,U상 (0A) 센싱전압 측정,NG,2.48,0,2.52,V,
0004,U상 소비 전류 측정,OK,,0.1,15,mA,
====================================================================================
Barcode NO : ,-,Result : ,
MODEL: ,Current Sensor+3P BUSBAR,INSPECTOR : ,0
====================================================================================
Step,항목,Result,Min,Value,Max,Unit
0004,W상 (100A) 센싱전압 측정,NG,2.66,0,2.74,V,
0004,W상 (-100A) 센싱전압 측정,NG,2.26,0,2.34,V,
0004,W상 (0A) 센싱전압 측정,NG,2.48,0,2.52,V,
0004,W상 소비 전류 측정,OK,,0.1,15,mA,
0004,U상 (100A) 센싱전압 측정,NG,2.66,0,2.74,V,
0004,U상 (-100A) 센싱전압 측정,NG,2.26,0,2.34,V,
0004,U상 (0A) 센싱전압 측정,NG,2.48,0,2.52,V,
0004,U상 소비 전류 측정,OK,,0.1,15,mA,
====================================================================================
Barcode NO : ,-,Result : ,
MODEL: ,Current Sensor+3P BUSBAR,INSPECTOR : ,0
====================================================================================
Step,항목,Result,Min,Value,Max,Unit
0004,W상 (100A) 센싱전압 측정,NG,2.66,0,2.74,V,
0004,W상 (-100A) 센싱전압 측정,NG,2.26,0,2.34,V,
0004,W상 (0A) 센싱전압 측정,NG,2.48,0,2.52,V,
0004,W상 소비 전류 측정,OK,,0.1,15,mA,
0004,U상 (100A) 센싱전압 측정,NG,2.66,0,2.74,V,
0004,U상 (-100A) 센싱전압 측정,NG,2.26,0,2.34,V,
0004,U상 (0A) 센싱전압 측정,NG,2.48,0,2.52,V,
0004,U상 소비 전류 측정,OK,,0.1,15,mA,
====================================================================================
Barcode NO : ,-,Result : ,
MODEL: ,Current Sensor+3P BUSBAR,INSPECTOR : ,0
====================================================================================
Step,항목,Result,Min,Value,Max,Unit
0004,W상 (100A) 센싱전압 측정,NG,2.66,0,2.74,V,
0004,W상 (-100A) 센싱전압 측정,NG,2.26,0,2.34,V,
0004,W상 (0A) 센싱전압 측정,NG,2.48,0,2.52,V,
0004,W상 소비 전류 측정,OK,,0.1,15,mA,
0004,U상 (100A) 센싱전압 측정,NG,2.66,0,2.74,V,
0004,U상 (-100A) 센싱전압 측정,NG,2.26,0,2.34,V,
0004,U상 (0A) 센싱전압 측정,NG,2.48,0,2.52,V,
0004,U상 소비 전류 측정,OK,,0.1,15,mA,
====================================================================================
Barcode NO : ,-,Result : ,
MODEL: ,Current Sensor+3P BUSBAR,INSPECTOR : ,0
====================================================================================
Step,항목,Result,Min,Value,Max,Unit
0004,W상 (100A) 센싱전압 측정,NG,2.66,0,2.74,V,
0004,W상 (-100A) 센싱전압 측정,NG,2.26,0,2.34,V,
0004,W상 (0A) 센싱전압 측정,NG,2.48,0,2.52,V,
0004,W상 소비 전류 측정,OK,,0.1,15,mA,
0004,U상 (100A) 센싱전압 측정,NG,2.66,0,2.74,V,
0004,U상 (-100A) 센싱전압 측정,NG,2.26,0,2.34,V,
0004,U상 (0A) 센싱전압 측정,NG,2.48,0,2.52,V,
0004,U상 소비 전류 측정,OK,,0.1,15,mA,
====================================================================================
Barcode NO : ,-,Result : ,
MODEL: ,Current Sensor+3P BUSBAR,INSPECTOR : ,0
====================================================================================
Step,항목,Result,Min,Value,Max,Unit
0004,W상 (100A) 센싱전압 측정,NG,2.66,0,2.74,V,
0004,W상 (-100A) 센싱전압 측정,NG,2.26,0,2.34,V,
0004,W상 (0A) 센싱전압 측정,NG,2.48,0,2.52,V,
0004,W상 소비 전류 측정,OK,,0.1,15,mA,
0004,U상 (100A) 센싱전압 측정,NG,2.66,0,2.74,V,
0004,U상 (-100A) 센싱전압 측정,NG,2.26,0,2.34,V,
0004,U상 (0A) 센싱전압 측정,NG,2.48,0,2.52,V,
0004,U상 소비 전류 측정,OK,,0.1,15,mA,
